sub,run,regressor,VIF
1,1,Face Perception,1.9796905385004635
1,1,Scene Perception,2.04540809017154
1,1,Face WM,1.7400458436600883
1,1,Scene WM,1.7622622027492392
1,2,Face Perception,2.063987959445504
1,2,Scene Perception,2.194020959844362
1,2,Face WM,1.8167347879375282
1,2,Scene WM,1.80517885350854
1,3,Face Perception,2.2327049782904376
1,3,Scene Perception,2.1742056426100316
1,3,Face WM,2.096667471556348
1,3,Scene WM,1.649101934326521
1,4,Face Perception,2.171576611169803
1,4,Scene Perception,2.1728916442417754
1,4,Face WM,1.8294515938047373
1,4,Scene WM,1.848872998835348
1,5,Face Perception,1.876570662842068
1,5,Scene Perception,2.102251694272343
1,5,Face WM,1.6626259540681827
1,5,Scene WM,1.8573566675742317
1,6,Face Perception,2.216347500410785
1,6,Scene Perception,2.2428136227940114
1,6,Face WM,1.8486722251516952
1,6,Scene WM,2.0644645546380196
1,7,Face Perception,2.0322216585002084
1,7,Scene Perception,2.2823588925149636
1,7,Face WM,1.658243161056319
1,7,Scene WM,2.1923093511385066
1,8,Face Perception,1.9565565561375564
1,8,Scene Perception,2.189384313193528
1,8,Face WM,1.7302997773905826
1,8,Scene WM,1.8470833901278918
1,9,Face Perception,2.058348559625518
1,9,Scene Perception,2.057440730178219
1,9,Face WM,1.7831169057497693
1,9,Scene WM,1.6981121231294918
1,10,Face Perception,2.4107027340828138
1,10,Scene Perception,1.9464737654661326
1,10,Face WM,2.177601276359086
1,10,Scene WM,1.7465505298971016
1,11,Face Perception,1.9470949530656443
1,11,Scene Perception,2.213953950328865
1,11,Face WM,1.7070260987947612
1,11,Scene WM,2.0032426045856973
1,12,Face Perception,2.087692503420879
1,12,Scene Perception,2.121465082202903
1,12,Face WM,1.8055828167970605
1,12,Scene WM,1.822874574195818
1,13,Face Perception,2.1285968979561414
1,13,Scene Perception,1.913908764632335
1,13,Face WM,1.8462698239690036
1,13,Scene WM,1.7441849375436238
1,14,Face Perception,2.137986129472383
1,14,Scene Perception,1.9817743554907945
1,14,Face WM,1.8607635202424975
1,14,Scene WM,1.9003940480793564
1,15,Face Perception,1.9868446955787216
1,15,Scene Perception,2.3431164971210374
1,15,Face WM,1.7075243066752595
1,15,Scene WM,1.901458682958077
1,16,Face Perception,2.035335501916854
1,16,Scene Perception,2.2654434462416573
1,16,Face WM,1.6470988001423967
1,16,Scene WM,1.8690814140475585
1,17,Face Perception,2.2460530326952153
1,17,Scene Perception,2.1872993153866793
1,17,Face WM,1.9511691449809463
1,17,Scene WM,1.7443530576705009
1,18,Face Perception,2.1321236347462036
1,18,Scene Perception,2.0919748573025427
1,18,Face WM,1.788850473540318
1,18,Scene WM,1.769725971236704
1,19,Face Perception,2.089679016173815
1,19,Scene Perception,1.9952769171754756
1,19,Face WM,1.6639417941031263
1,19,Scene WM,1.8687330611894912
1,20,Face Perception,2.066962560101257
1,20,Scene Perception,2.0476380690150795
1,20,Face WM,1.9356306325475277
1,20,Scene WM,1.7191315023271185
1,21,Face Perception,1.8564465468701932
1,21,Scene Perception,2.1379488509047797
1,21,Face WM,1.7512808419430745
1,21,Scene WM,1.8884540543868114
1,22,Face Perception,2.1611289226083916
1,22,Scene Perception,1.9610440602036794
1,22,Face WM,1.9441908016669767
1,22,Scene WM,1.713438639900771
1,23,Face Perception,1.9896973439296353
1,23,Scene Perception,1.9957799349940903
1,23,Face WM,1.7594919921003975
1,23,Scene WM,1.6565001742138818
1,24,Face Perception,2.3079394315522195
1,24,Scene Perception,2.1054742352753064
1,24,Face WM,1.9680369376167581
1,24,Scene WM,1.6864723975226616
1,25,Face Perception,2.126450158581374
1,25,Scene Perception,2.198841636480273
1,25,Face WM,1.811503638003355
1,25,Scene WM,1.8438320124324326
1,26,Face Perception,2.0325743287638653
1,26,Scene Perception,2.0539968367494423
1,26,Face WM,1.8125544892336702
1,26,Scene WM,1.868198449382515
1,27,Face Perception,1.9724657066393276
1,27,Scene Perception,2.1268564642101757
1,27,Face WM,1.6678418507030743
1,27,Scene WM,1.9019970157670323
1,28,Face Perception,2.0657639917010284
1,28,Scene Perception,2.0280671498372413
1,28,Face WM,1.849171508808304
1,28,Scene WM,1.7255013890625
1,29,Face Perception,2.0240343391175615
1,29,Scene Perception,2.093443980841737
1,29,Face WM,1.7290348144569274
1,29,Scene WM,1.8086447377058066
1,30,Face Perception,2.0163137377428835
1,30,Scene Perception,2.1231334710059224
1,30,Face WM,1.8238598976376716
1,30,Scene WM,1.9495744008241125
1,31,Face Perception,2.249290850701572
1,31,Scene Perception,1.9757199948191217
1,31,Face WM,1.9091885537352928
1,31,Scene WM,1.8288290873291801
1,32,Face Perception,2.018016476816767
