ROI,N_subj_used,mean_z,CI_low,CI_high,t_value,p_one_tailed,p_one_tailed_FDR,significant_FDR
Primary Visual,8,1.718041444421521,0.08868117025380381,3.629146739197086,1.7789370916643201,0.05923944191019109,0.06516338610121021,False
Early Visual,8,7.1909039275085105,5.107757361617617,9.367105710454032,6.097872386820711,0.00024605619136983575,0.0010826472420272773,True
Dorsal Stream Visual,8,7.102380919878302,4.350821491263246,9.894372915430232,4.615695320960764,0.0012192535572104449,0.0033529472823287236,True
Ventral Stream Visual,8,9.233054140004839,6.523120148844519,11.965638098919923,6.209120255289317,0.0002206592558452176,0.0010826472420272773,True
MT+ Complex,8,9.233271240737363,6.696498264232642,11.848665592431074,6.525358051125907,0.00016313535921151173,0.0010826472420272773,True
Somatosensory / Motor,8,0.8141123959279496,-0.11989491873437859,1.8680935219218946,1.4907659338318435,0.08982216895832676,0.09409941509919946,False
Paracentral / Mid Cingulate,8,2.0712986604657537,1.160863933813585,2.986826815644947,4.0320281012687325,0.0024914823091746596,0.0045677175668202095,True
Premotor,8,5.957065466709394,3.498873065378675,8.437858853155594,4.384041569066568,0.0016093074554087046,0.003933862668776833,True
Posterior Opercular,8,1.2227972924114128,0.5066393699984657,2.065490062182337,2.853939335168941,0.01227480010698542,0.01500253346409329,True
Early Auditory,8,0.2843916397154872,-0.41838967286194134,0.833190700007524,0.8169963998292384,0.2204228772854558,0.2204228772854558,False
Auditory Association,8,2.152910405856333,0.9836645382085175,3.3715331702463427,3.3111922350730207,0.006460187377006889,0.00836024248789127,True
Insular / Frontal Opercular,8,0.9272195211117449,0.08217942242370599,1.7313686876624927,2.069981159758909,0.038609450082293086,0.04470567904265515,True
Medial Temporal,8,5.586956105681546,4.058401017050842,7.040432249633692,6.864027842078207,0.00011947207035380881,0.0010826472420272773,True
Lateral Temporal,8,5.163505770604301,3.0945646702348446,7.686716724456949,4.101840510045435,0.002281233281725946,0.004562466563451892,True
Temporo-Parieto-Occipital Junction,8,4.610681299931574,3.0787120663285847,6.342696357134074,5.119388849072201,0.0006848379846397549,0.0025110726103457683,True
Superior Parietal,8,8.164043470979408,5.105557819235754,11.483726471657283,4.710183875460785,0.0010912008121071084,0.0033529472823287236,True
Inferior Parietal,8,7.812824920503518,5.589976596999655,10.101312929981873,6.217717103948244,0.00021882240213163623,0.0010826472420272773,True
Posterior Cingulate,8,6.035933672726944,3.4010713164356403,8.554137650462696,4.248079496293523,0.0019010709451810776,0.004182356079398371,True
Anterior Cingulate / Medial Prefrontal,8,3.0688067881359147,1.4463624452694266,4.7424546753632795,3.3248141958502058,0.00634048077972366,0.00836024248789127,True
Orbital / Polar Frontal,8,2.871601072965535,1.4223454860465936,4.4815034470798825,3.3880717518385652,0.005814980015825114,0.00836024248789127,True
Inferior Frontal,8,5.4278416421912,3.0890822853835873,8.072199893505188,3.9628560900148098,0.002720879201229632,0.004604564802080916,True
DorsoLateral Prefrontal,8,4.521702098502379,2.1820258970953046,6.5886825284366655,3.7351805800553723,0.0036544216139425428,0.005742662536195425,True
