ROI,N_subj_used,mean_z,CI_low,CI_high,t_value,p_one_tailed,p_one_tailed_FDR,significant_FDR
Primary Visual,8,7.029360636771377,4.983495415808124,8.826700736233779,6.7568276401879634,0.00013168167207060867,0.0004138566836504844,True
Early Visual,8,12.808241817367787,9.96686623101666,15.643774743786441,8.067524013315447,4.319147761400608e-05,0.00034875026357274663,True
Dorsal Stream Visual,8,11.42528384799099,8.53342021930114,14.374654485611433,7.182363508493753,9.009997623784967e-05,0.00039643989544653854,True
Ventral Stream Visual,8,12.272409393699299,9.126593227059706,15.402680814086747,7.3110181923988895,8.061378558759612e-05,0.00039643989544653854,True
MT+ Complex,8,12.380595140270803,9.609056564586409,15.295965722082764,7.946804439996787,4.755685412355636e-05,0.00034875026357274663,True
Somatosensory / Motor,8,2.9694451505462425,1.4546558643394456,4.58275218611256,3.474688946973688,0.005170082520166041,0.005882608630449703,True
Paracentral / Mid Cingulate,8,3.0306819631712525,1.3254396348523594,4.535662697829952,3.44970093291712,0.005347826027681548,0.005882608630449703,True
Premotor,8,8.040991344051207,5.308777172366943,10.872300674614426,5.2695511902538765,0.0005805945860042813,0.0009123629208638706,True
Posterior Opercular,8,1.9713275364287393,1.28341386362906,2.6063347710746085,5.527671534585382,0.00044019804578645036,0.0008763453612052727,True
Early Auditory,8,0.5347443200807828,0.032806158877535324,1.2688266184155017,1.5167650112306872,0.08655533834282853,0.08655533834282853,False
Auditory Association,8,3.3612133336756216,2.0438679476308903,4.945884050261219,4.179826082792594,0.0020690734482890633,0.0025288675479088548,True
Insular / Frontal Opercular,8,2.282935564187901,0.973583294433598,3.5925410081167577,3.155954625802739,0.008009212094742214,0.008390603146872795,True
Medial Temporal,8,6.787556885233425,4.469923386304845,9.095117149776954,5.367506558321037,0.0005221558180715022,0.0008836483075056191,True
Lateral Temporal,8,7.1196820665658835,4.651044913621717,9.911777978202014,4.927725851528578,0.0008493267329972827,0.0012092134531860885,True
Temporo-Parieto-Occipital Junction,8,6.857914520973488,5.127083760974196,8.742920857513216,6.95438012314458,0.0001101648084044143,0.0004039376308161858,True
Superior Parietal,8,11.372013948257452,7.761008239117053,14.906378662398994,5.776452992591895,0.0003398578699069322,0.0007476873137952509,True
Inferior Parietal,8,11.152014872783186,8.718391231213307,13.417550643246061,8.616234899404756,2.829215795934665e-05,0.00034875026357274663,True
Posterior Cingulate,8,9.018467821822188,6.484234808170983,11.5371534289702,6.451849768632285,0.00017482777201033325,0.0004807763730284164,True
Anterior Cingulate / Medial Prefrontal,8,4.887765830035997,3.1363864965280945,6.815100626319714,4.882630453291916,0.0008941176950476055,0.0012092134531860885,True
Orbital / Polar Frontal,8,4.09139037504851,2.5558494363190083,5.6254832497944065,4.84417012372124,0.0009343922138256138,0.0012092134531860885,True
Inferior Frontal,8,7.683376944478981,5.245661414137876,10.362751481343226,5.449984372692708,0.0004780065606574214,0.0008763453612052727,True
DorsoLateral Prefrontal,8,7.274491094022088,5.095784483071653,9.433922788346203,6.07190621604618,0.0002524452296058998,0.0006170883390366439,True
