ROI,N_subj_used,mean_z,CI_low,CI_high,t_value,p_one_tailed,p_one_tailed_FDR,significant_FDR
Primary Visual,8,5.195570297999481,3.6510157019501834,6.777686129337086,5.979909621405098,0.00027662255780939185,0.0008693851816866602,True
Early Visual,8,8.469979676432953,5.798821591140327,10.993567546578426,5.984199045989387,0.00027543930471482823,0.0008693851816866602,True
Dorsal Stream Visual,8,5.937802629747377,4.07307444173407,7.579785278737749,6.335249877351287,0.000195354802836266,0.0008693851816866602,True
Ventral Stream Visual,8,4.978111145095845,3.3654194464448026,6.688580752962855,5.39940077778137,0.0005045659130273628,0.0011100450086601983,True
MT+ Complex,8,5.578230125384481,3.8779078580312367,7.429231511457652,5.745797842455703,0.0003507189938285054,0.0009644772330283898,True
Somatosensory / Motor,8,1.5038694111831505,1.116011367877324,1.9852556712078822,6.299997430547323,0.0002020832037045987,0.0008693851816866602,True
Paracentral / Mid Cingulate,8,1.1949925790229607,0.41715608721482283,2.0664751388268554,2.675605238384906,0.015870375817808213,0.01837622463114635,True
Premotor,8,3.159101136123436,1.8489563042408241,4.397537514371305,4.501745259401377,0.001396242659072892,0.0025597782083003023,True
Posterior Opercular,8,0.5992285668171926,0.2508633456140009,0.9840963993435824,3.0167555318450305,0.009737676093227367,0.01338930462818763,True
Early Auditory,8,0.5698812107172709,0.1814337041588835,0.9627397856778912,2.6782715059804896,0.015809174828591614,0.01837622463114635,True
Auditory Association,8,0.5290060278334148,-0.41795730081991356,1.5667538964644578,0.9766428877385699,0.18064111938104152,0.18064111938104152,False
Insular / Frontal Opercular,8,0.579199775966907,0.18766158510111464,1.0366780944468286,2.4854443554691867,0.020937466540307165,0.021934488756512268,True
Medial Temporal,8,1.6091944223679837,0.8335462655927647,2.5051655386228444,3.5088223458006906,0.0049375110052824805,0.007758945865443898,True
Lateral Temporal,8,1.565765765147439,0.4892853954673054,2.655513835044074,2.571155689338216,0.018472788159445124,0.02032006697538964,True
Temporo-Parieto-Occipital Junction,8,3.079769987146113,2.4926632527260866,3.7864046317566222,8.768402564431334,2.526180291054739e-05,0.0005557596640320425,True
Superior Parietal,8,4.852445602527411,3.565521606068964,6.136583734471448,6.9733262085169665,0.00010831831949105892,0.0007943343429344322,True
Inferior Parietal,8,4.4054621103087515,3.3934880983630515,5.448490275209253,7.823932398669311,5.2518784655073617e-05,0.0005777066312058097,True
Posterior Cingulate,8,3.6127602194266997,2.4254515447223466,4.880955928942657,5.4692730098333975,0.0004682923448443641,0.0011100450086601983,True
Anterior Cingulate / Medial Prefrontal,8,1.016439651622872,0.3851055569557897,1.7263160707401033,2.7497966656539234,0.014256166894553023,0.01837622463114635,True
Orbital / Polar Frontal,8,0.8289635741690561,0.3009851188657111,1.2867336063905566,3.0829575617170772,0.008870765915216431,0.013010456675650766,True
Inferior Frontal,8,2.94585003996234,1.7782975335901956,4.287728525172826,4.324208639682395,0.0017311495367084723,0.0029296376775066455,True
DorsoLateral Prefrontal,8,2.6506888211943256,1.8343561171251612,3.670869861125196,5.247573180515639,0.0005946845081557684,0.0011893690163115368,True
